gene,Block1,Block2,Block3,Block4
Suv39h1,10,4,9,5
Sv2a,0,1,1,0
Sv2c,0,9,6,3
Swap70,7,7,0,14
Swt1,17,5,6,16
Sycp2,9,10,5,14
Syde2,12,14,19,7
Syna,19,14,17,16
Sync,11,4,4,11
Syndig1,5,13,0,18
Synm,19,2,17,4
Synpo,19,17,7,9
Synpo2,9,4,0,13
Synpo2l,6,12,2,16
Sypl,13,13,19,7
Syt12,19,9,10,18
Syt14,19,7,10,16
Syt7,13,19,19,13
Syvn1,14,5,1,18
Tab2,9,6,3,12
Tab3,11,8,7,12
Tacc2,3,11,17,17
Tacc3,5,5,14,16
Tacr1,16,16,3,9
Tacstd2,4,17,16,5
Taf3,2,19,5,16
Taf4b,18,18,5,11
Taf6,12,14,9,17
Taf8,7,17,19,5
Taok3,5,3,3,5
