gene,x,y,primary,rep
654,4.65469185908026,5.184885806826921,20,1
1588,6.6677410516602365,2.4902231604774183,20,1
1356,6.847382539928115,6.565450401775001,20,1
1643,6.715912413905209,6.561277630491626,20,1
147,6.27953009065791,6.4794941728036335,20,1
528,6.240646821457546,2.634713506206178,20,1
76,3.24944627360645,2.7053973117306493,20,1
648,3.1576334055455417,2.9963840166580917,20,1
1565,3.9513072381878303,3.941688361731852,20,1
986,5.955964093100392,3.471213827028181,20,1
922,5.05974033132963,2.829730950068185,20,1
1408,5.561364335145798,4.316229433826926,20,1
951,4.016747369917926,3.132412900057872,20,1
1196,4.530087379201414,5.6487723118435,20,1
136,4.430436588797242,5.348639194560036,20,1
991,5.782443343774425,6.633120492809431,20,1
1761,3.439732471940004,5.49731455044739,20,1
222,6.934260788551946,2.2758517600180186,20,1
351,5.699440663902109,5.932556689478584,20,1
1952,2.913880424667669,5.6597474858508665,20,1
928,5.902148048930496,3.23147182658532,20,1
1616,4.010189465469112,6.255276247476896,20,1
2070,4.870876598475933,5.938292083294728,20,1
1659,2.6349031965213525,5.456919678027966,20,1
2016,5.907539019270666,4.96671879757773,20,1
1416,5.916822373269853,5.204015103537808,20,2
1076,6.109654296618857,3.433723387229328,20,2
755,3.324421118655549,6.776834699821536,20,2
348,3.76714178819765,2.6665401052084547,20,2
1015,5.856986237072384,3.721272130278735,20,2
328,4.537215929284024,3.243515273614515,20,2
467,2.8583836758230508,5.387547456298097,20,2
1149,5.684990404710753,6.270803310976478,20,2
992,5.170349125890778,5.685199840573913,20,2
1290,4.247077528503686,6.835941477339208,20,2
1807,5.218865739744106,4.537607564333673,20,2
1150,6.199701528755951,5.949554902902841,20,2
1196,4.8871592837028,6.553615690874339,20,2
954,4.7183002179333,5.771368818344259,20,2
266,2.619256855200084,2.324357242595102,20,2
1335,3.406053313769376,2.30618339095014,20,2
870,2.010214607552858,2.926204393883556,20,2
1353,3.3448030333932715,5.776793200200537,20,2
1872,5.283155380862248,6.51862719808937,20,2
1801,4.886303196563729,3.374640310639795,20,2
1776,3.299032608791722,2.5465043486001795,20,2
1253,6.455018020404183,5.827100420948346,20,2
1411,3.493025271623744,3.476568998251212,20,2
165,6.94669282995551,2.397422426952458,20,2
242,3.7567280336791806,2.9777369196525463,20,2
1592,5.417579713026652,3.485435104323015,20,3
1828,2.3765149029952304,6.951120636867884,20,3
2039,3.1362691559871347,5.010651395540214,20,3
859,6.5115066504862105,2.9458366636374214,20,3
574,4.558116257898653,2.3477437896836806,20,3
2049,3.458498393964924,4.418721172565698,20,3
1765,2.477097958887021,4.911893389494416,20,3
593,6.703597432410628,2.9560699493785174,20,3
806,3.5863768145873185,6.140515660829554,20,3
988,2.16301030642792,3.165364989369353,20,3
801,2.627811454514734,2.9376892284112603,20,3
1386,2.398006878358708,5.946887840667619,20,3
381,3.6775549048073857,2.183406117093772,20,3
1028,3.992149336097032,6.284207775919299,20,3
376,3.5224586628128915,5.636313919486815,20,3
449,6.943076659436751,6.427407394504252,20,3
1844,3.7501795548284447,4.533028596890914,20,3
796,6.660084022546568,6.924252094742111,20,3
645,4.392598869321206,2.7725089970883605,20,3
2008,4.582476769740481,6.209666762102516,20,3
1546,5.3510773836006855,6.324312074457775,20,3
1957,4.203722473669566,3.201477763212868,20,3
910,3.844651210150343,2.452026514866235,20,3
1639,6.889707495763486,6.919410127764914,20,3
849,5.383127331239054,5.777863968636592,20,3
80,2.067902729689643,6.402522195806952,20,4
205,5.040228582198803,6.15648358117434,20,4
1152,4.304518836621227,4.195175787191825,20,4
141,5.596658213230215,2.702352386479428,20,4
265,2.144434909714915,6.9323744804188605,20,4
1201,5.646689064107184,5.16745836776604,20,4
1076,3.393529326320503,4.402445650952825,20,4
770,5.4683254526407445,6.330430911570302,20,4
342,2.656084000965555,4.309870440925611,20,4
1734,3.1982244389687478,5.691026123139604,20,4
180,4.219501569696089,5.540825060701658,20,4
238,6.472351895004377,4.245500153152188,20,4
1224,4.215983227063145,4.033071454245351,20,4
1948,5.116313218343944,5.452495604810168,20,4
677,2.596740182543893,6.392498824716677,20,4
129,4.582503690386131,5.257440520475315,20,4
540,3.756091437140501,5.766795936571679,20,4
1782,4.525128000692437,6.443623325261989,20,4
221,3.9889027829449706,2.0027405778968443,20,4
937,6.551950131431734,4.7387234643969744,20,4
496,3.9448270781468464,2.998669191034298,20,4
1239,5.955721467567468,2.0564879283906983,20,4
400,3.593178980462746,5.782040823168224,20,4
1924,6.200698572378373,5.522858727310093,20,4
884,5.841404381813296,2.2690290679540555,20,4
1372,2.878542223313952,3.381281641942872,20,5
60,3.96335476043572,4.659019214374409,20,5
592,2.734432691266949,2.0455845992275776,20,5
1270,5.0695528939817525,5.673826755980338,20,5
800,3.6560708510564033,6.185034000326283,20,5
906,5.999144399698944,4.349696062860443,20,5
203,3.129106650357236,3.4757686525449283,20,5
744,2.3892136985163277,6.647934148444143,20,5
2063,6.4237752079870525,2.801655575425513,20,5
1762,3.14113574789696,2.7441649939407746,20,5
178,4.896337903310227,4.141207352675843,20,5
1496,2.883195489362301,5.31762504478403,20,5
1626,2.949423021128115,3.201332898759078,20,5
780,2.8147190033716245,4.022682983367209,20,5
1720,3.67357130212948,4.867211924542769,20,5
1132,3.938445926661312,6.124974064427057,20,5
1491,4.916520296415131,2.715817823037359,20,5
1568,6.399676264400164,5.509072272207023,20,5
1525,5.598610775194542,3.617629836058639,20,5
2067,4.836052830928331,6.827458920981477,20,5
295,3.160585422651779,4.205867424146151,20,5
1458,6.922724028732989,3.927646009006132,20,5
184,6.481738387397439,6.929276122185862,20,5
2015,3.6998215339577865,4.2452740228914,20,5
