gene,x,y,primary
1420,6.803781463315621,3.565436457598381,20
2082,3.355520094300206,5.922981795804749,20
317,2.2963522516277486,3.2995139755832326,20
1696,6.335507795122652,4.990560019775614,20
512,3.5715951297499107,2.504682683841538,20
1339,4.809385061552022,5.100718172302978,20
908,3.493635131454112,6.368485926879085,20
558,4.776834347255708,4.257152034915629,20
776,6.027372534216005,3.165597927016835,20
1121,3.1374831628164133,6.570603200592506,20
694,5.990917947849139,6.655364052141913,20
1648,6.128389979282014,4.065031484559277,20
2091,5.459442336098521,2.726696069043733,20
806,3.936910532097562,2.054674440140403,20
231,2.8359913115386557,6.3305937722517776,20
2018,3.318930926948277,5.2334133071565105,20
1392,2.5713746440313923,2.9092221607997963,20
1706,2.161757702100788,3.517637435638461,20
383,2.7650938308444717,4.957077500834179,20
134,3.2032458481019663,3.510523775027594,20
650,3.545488209760145,5.293680908670691,20
127,4.7569707387739335,4.871029073848619,20
1804,3.050066760334315,5.15180928008098,20
238,2.511451898047024,4.717918123784944,20
1853,4.069114210172415,2.51138132935629,20
