gene,x,y,primary
349,6.679194670740476,6.871393406696024,20
1048,6.4604548852355945,2.1226466584553725,20
2025,2.3124381157348646,5.385333987876672,20
1490,3.113999275280909,3.791303623877823,20
620,4.421479267520423,4.122330249852363,20
887,5.377520917055556,2.467218814777828,20
1851,6.957850007537357,2.8148082491088635,20
1420,6.803270533830516,2.5477324908975105,20
1059,5.476531154709097,5.193068029126878,20
408,3.4509798391272906,4.8747632219320165,20
280,5.400710347110418,5.266098081976368,20
1324,5.977655453168378,5.324006815948222,20
525,2.5974509032558006,3.682067883887808,20
1380,6.302495299224265,4.049325112750294,20
435,2.303605924636128,4.330552148057803,20
2005,5.334437687461328,4.519444771072226,20
192,5.409178216937836,5.62273431647641,20
695,4.868937041699375,3.749414346607447,20
636,4.931917031128429,3.542195475731769,20
1525,4.509327577736179,6.466235496770127,20
1488,3.358702693984341,2.560169754622572,20
2021,2.4114314771980068,6.645387468161458,20
1471,4.1859487956104,4.878104790876722,20
193,5.260115544385014,2.6110941943467187,20
566,5.0788296536647355,5.428517254942171,20
