gene,x,y,primary
441,6.031508801401155,2.7919335169986006,20
907,5.021600064998546,5.72566296394881,20
1236,4.408400764337012,3.050958295737654,20
1802,5.450394881488355,4.857232628788598,20
1204,2.0238835753114586,3.0062630160347514,20
1459,5.124782858141715,5.282279552548397,20
1307,6.688109698810693,3.9601892814274313,20
1483,6.75920358729638,2.862641950062575,20
1919,2.854962030628876,3.155133786691331,20
1162,6.603174507246324,4.200517145099183,20
1027,5.675580193412287,5.64264093913348,20
1881,3.585446810195115,5.155737423259949,20
873,3.0469805541941857,3.983501005681763,20
587,4.815425958321841,4.037308967120759,20
1220,2.4382552775926154,2.9923898188699276,20
197,3.9882707619806683,6.776069734170219,20
2013,5.688172944547164,2.1609294535794525,20
1541,3.224452713459843,4.291181768505433,20
601,3.9816560113685684,5.0496219947077545,20
710,5.071608752093498,5.7158544340225586,20
1737,5.05847065258941,4.745175957864803,20
54,4.804945557464234,3.10484224979482,20
640,3.2440128425871726,4.267972628254682,20
1620,5.0015431564484185,2.4072783263236706,20
877,5.939477608156265,4.070693790677553,20
