gene,x,y,primary
1111,3.9887800748023423,4.593688660761437,20
741,3.5092809024245923,3.009846870951956,20
235,6.611227761969304,5.024815363443016,20
876,4.160052849757745,5.68083221092663,20
135,5.98074795152402,3.922695199656759,20
862,5.665194443813384,6.74104271265442,20
659,4.320765127000399,3.1294269908997934,20
863,4.081262376791756,5.468387120060974,20
1792,3.686579191064297,3.530186012604506,20
76,2.541706354508788,3.4792443794397228,20
1895,5.2764182556717625,3.0632893282419813,20
372,2.1626017695461606,2.1795270668789413,20
1603,6.4309893937674785,5.752569810781203,20
1293,4.4678978644878455,4.1248127266063195,20
1168,6.13249150207313,5.4945736805158845,20
1566,3.0122937253908484,4.786441095761539,20
547,6.882989981998005,4.388054198361442,20
1009,3.785403770816618,3.8491332002103347,20
399,5.447932935039382,6.598750244178969,20
1101,2.959077194315478,6.73484278291255,20
1125,6.084208847755621,5.241157921669214,20
846,6.5644975888050086,4.0608960898059685,20
1460,2.159618709074004,4.472714079295277,20
1923,6.6566379535562294,5.381428317688492,20
715,2.0944819869222533,5.776608059919008,20
