gene,x,y,primary
1521,3.188505582901141,3.332228080226173,20
892,6.2072978590871815,3.277119944493148,20
1317,5.644715438566925,2.1036536145422664,20
1819,3.9423105039761337,5.202316179126841,20
272,3.1737076577761614,6.988946047961605,20
454,2.0776690450729407,6.360711378291249,20
458,2.569151277784785,2.112993370194597,20
1828,4.048639874218629,6.016450520787601,20
15,2.5297317142677462,6.390546814843762,20
50,3.586763823928128,6.697349578969151,20
665,5.019621053833624,4.428567669010809,20
221,5.201933077324206,2.0653409651153685,20
1175,2.869730239377144,5.560557377345393,20
1198,2.760689484033619,5.348507190412932,20
391,6.902750742234925,2.9866640263362165,20
812,5.696925396815185,5.052698104211409,20
317,6.08136344083758,5.751612603847021,20
813,5.904412142990752,3.4048642249934975,20
1269,3.3881080222662705,5.894538321009812,20
1629,6.242687242906882,3.303888914569935,20
1213,2.3550415679861993,2.309903850087729,20
1698,6.043049918430722,2.1717607830788968,20
531,2.378863167924342,5.927590451238093,20
2089,4.01689959870817,4.493066801584183,20
1509,6.0548927652492415,4.185416819347109,20
