gene,x,y,primary
1848,2.566824951907103,4.721290073303631,20
1856,4.356275457495363,6.591359921808881,20
2030,5.330062992102506,5.638545509876504,20
1443,2.8847246638583033,6.301149921858559,20
521,4.061620062550016,5.731068671556564,20
1954,5.165953921573109,4.059874319163692,20
1184,6.97357040762719,3.2581125867129077,20
553,6.872241303840833,2.5726957687919976,20
1353,5.14930418560998,4.114776296905963,20
116,6.260253721210089,5.838275748923703,20
1653,2.0794659847875407,3.3319166569801184,20
445,4.972663448942024,2.575252778766489,20
872,4.288411268653409,6.025300152503222,20
2003,6.643115476531822,3.133356345973402,20
1911,2.1730568306545015,2.6547144175549606,20
1,4.085092896486783,2.960451461340288,20
172,6.923595756837295,2.2837357714151896,20
1989,5.648239804867797,6.261119357237905,20
2080,4.115113132558397,2.845350186250858,20
1458,3.8818932832991537,6.125335100346308,20
1811,5.945995969358318,2.615079142079329,20
1352,5.690933597993261,4.860766380413672,20
681,4.571466549430315,5.219043598129565,20
1699,6.136517541785167,3.388952190974,20
1489,5.357559470047136,5.705317953025166,20
