gene,x,y,primary
1032,4.550519575439225,2.7020204384879403,20
1623,3.329896846003087,4.73404806809871,20
40,6.084467501548719,5.984697776491503,20
2095,2.1805124739770276,3.0940622855149478,20
954,3.9210787140415144,6.652570622473539,20
851,5.366897174452139,3.7729658423117662,20
1466,5.3150792004151945,2.8356434789471807,20
377,3.6023828335347376,5.350273764590539,20
1576,5.601102319903619,5.4522125376565,20
1408,6.563507152160517,2.2306050872470222,20
74,4.794212729964718,4.656263988043028,20
1513,5.707484823064246,2.467941223651525,20
1010,3.885507571268156,5.255026935551396,20
781,2.0864398172072463,5.77204595910187,20
545,2.5588973620970004,5.965799558129169,20
2068,5.5721885376746165,4.19602007654121,20
1079,3.180222002576201,6.027915247502776,20
1210,6.7808027314650445,6.506422922277325,20
1049,6.580788270920995,3.4525700925344815,20
1050,6.463774171502676,2.274662897606173,20
1974,3.0846380624099625,3.851118612919087,20
2033,3.3463550553327814,6.400166822884458,20
1610,3.6162493344062048,3.020917589948287,20
783,2.822457896284381,2.4867820575460113,20
1486,5.502464795365627,3.8531469526107407,20
