gene,x,y,primary
1875,3.065511278250597,3.4448464422661376,20
391,6.677494768815542,5.7163003576246965,20
1261,2.1707390725832663,2.101608724710576,20
1600,4.5730125950247835,5.230772786612274,20
774,6.691376144368311,4.7865583753147085,20
469,5.142589529682606,5.5321228820108175,20
1135,2.7970012257352774,5.002805405674825,20
178,4.281037850906358,4.893214762361224,20
1896,5.865706764313509,5.173619604483491,20
1625,6.063151050514615,5.866986350483664,20
180,3.7585680927532104,6.633822577955901,20
252,5.833698055288821,4.828628263101409,20
1378,3.5563036309768967,4.623920727268497,20
1439,2.4746531891161543,2.2741158011016487,20
1575,5.964055674164184,5.263000208683586,20
1087,3.9496975519657855,2.290912185822591,20
1023,3.611960742358354,3.217732162350449,20
991,2.0118424494028906,2.124151295676158,20
1490,3.8505724953842115,3.6789644046294283,20
1751,2.9351216350558795,2.244535339784359,20
478,3.6043397036332814,2.2877358569744737,20
1195,6.051469346327664,4.419764671183684,20
1682,6.0007977856789765,5.83006946457494,20
1119,2.2268410488545407,6.403773706040723,20
1085,5.775774959905907,6.753854687399412,20
